source,target,note
"ゆき","由贵",""
"なかしまゆき","中岛由贵",""
"ロセリア","Roselia",""
"ゆきめぐTV","贵惠TV",""
"くどうはる","工藤晴香",""
"あいあい","相羽爱奈",""
"ゆっきー","由贵",""
"しまゆき","中岛由贵",""
"しまゆきちゃん","中岛由贵",""
"なかしま ゆき","中岛由贵",""
"ナカシマユキ","中岛由贵",""
"中島由貴","中岛由贵",""
"中島 由貴","中岛由贵",""
"中岛由贵","中岛由贵",""
"Yuki Nakashima","中岛由贵",""
"Nakashima Yuki","中岛由贵",""
"YukiNakashima","中岛由贵",""
"Yuki_Nakashim","中岛由贵",""
"yuki_nakashima","中岛由贵",""
"ゆきすと","由贵粉丝",""
"NYuki_OFC","中岛由贵官方FC",""
"nakashima_yuki.official","中岛由贵Instagram",""
"なかじまゆき","中岛由贵",""
"中嶋由貴","中岛由贵",""
"中島由紀","中岛由贵",""
"中岛由纪","中岛由贵",""
"バンドリ","BanG Dream!",""
"バンドリ！","BanG Dream!",""
"BanG Dream","BanG Dream!",""
"BanG Dream!","BanG Dream!",""
"ガルパ","BanG Dream!少女乐团派对",""
"ガルパ！","BanG Dream!少女乐团派对",""
"ガールズバンドパーティ","BanG Dream!少女乐团派对",""
"ガールズバンドパーティ！","BanG Dream!少女乐团派对",""
"ロゼリア","Roselia",""
"Roselia","Roselia",""
"今井リサ","今井莉莎",""
"いまいりさ","今井莉莎",""
"今井莉莎","今井莉莎",""
"今井丽莎","今井莉莎",""
"今井理沙","今井莉莎",""
"リサ","今井莉莎",""
"リサ姉","今井莉莎",""
"リサねえ","今井莉莎",""
"Lisa Imai","今井莉莎",""
"相羽あいな","相羽爱奈",""
"相羽愛奈","相羽爱奈",""
"あいばあいな","相羽爱奈",""
"Aina Aiba","相羽爱奈",""
"湊友希那","凑友希那",""
"みなとゆきな","凑友希那",""
"友希那","凑友希那",""
"工藤晴香","工藤晴香",""
"くどうはるか","工藤晴香",""
"くどはる","工藤晴香",""
"KDHR","工藤晴香",""
"氷川紗夜","冰川纱夜",""
"ひかわさよ","冰川纱夜",""
"紗夜","冰川纱夜",""
"櫻川めぐ","樱川惠",""
"桜川めぐ","樱川惠",""
"さくらがわめぐ","樱川惠",""
"めぐ","樱川惠",""
"めぐちぃ","樱川惠",""
"めぐちー","樱川惠",""
"Megu Sakuragawa","樱川惠",""
"Meguchee","樱川惠",""
"宇田川あこ","宇田川亚子",""
"うだがわあこ","宇田川亚子",""
"あこ","宇田川亚子",""
"志崎樺音","志崎桦音",""
"志崎桦音","志崎桦音",""
"しざきかのん","志崎桦音",""
"のんちゃん","志崎桦音",""
"Kanon Shizaki","志崎桦音",""
"白金燐子","白金燐子",""
"しろかねりんこ","白金燐子",""
"燐子","白金燐子",""
"遠藤ゆりか","远藤祐里香",""
"遠藤祐里香","远藤祐里香",""
"えんどうゆりか","远藤祐里香",""
"ゆりしぃ","远藤祐里香",""
"ゆりしぃ☆","远藤祐里香",""
"初代リサ","远藤祐里香",""
"初代今井リサ","远藤祐里香",""
"明坂聡美","明坂聪美",""
"明坂聪美","明坂聪美",""
"あけさかさとみ","明坂聪美",""
"あけ","明坂聪美",""
"あけこ","明坂聪美",""
"初代燐子","明坂聪美",""
"初代白金燐子","明坂聪美",""
"アイマス","偶像大师",""
"THE IDOLM@STER","偶像大师",""
"IDOLM@STER","偶像大师",""
"デレマス","偶像大师 灰姑娘女孩",""
"シンデレラガールズ","偶像大师 灰姑娘女孩",""
"アイドルマスターシンデレラガールズ","偶像大师 灰姑娘女孩",""
"THE IDOLM@STER CINDERELLA GIRLS","偶像大师 灰姑娘女孩",""
"モバマス","偶像大师 灰姑娘女孩",""
"デレステ","偶像大师 灰姑娘女孩 星光舞台",""
"スターライトステージ","偶像大师 灰姑娘女孩 星光舞台",""
"CGSS","偶像大师 灰姑娘女孩 星光舞台",""
"乙倉悠貴","乙仓悠贵",""
"乙仓悠贵","乙仓悠贵",""
"おとくらゆうき","乙仓悠贵",""
"おとくら","乙仓悠贵",""
"乙倉","乙仓悠贵",""
"乙倉ちゃん","乙仓悠贵",""
"悠貴ちゃん","乙仓悠贵",""
"追い風Running","乙仓悠贵角色歌",""
"ずるじゃん","乙仓悠贵角色歌",""
"ゆきめぐ","贵惠TV",""
"ゆきめぐTV（仮）","贵惠TV",""
"yukimegu","贵惠TV",""
"yukimegu_tv","贵惠TV",""
"武田羅梨沙多胡","武田罗梨沙多胡",""
"武田罗梨沙多胡","武田罗梨沙多胡",""
"たけだらりさたご","武田罗梨沙多胡",""
"らりちゃん","武田罗梨沙多胡",""
"らり","武田罗梨沙多胡",""
"Rarisa Tago Takeda","武田罗梨沙多胡",""
"かわいいラジオ","可爱广播",""
"かわラジ","可爱广播",""
"中島由貴・武田羅梨沙多胡のかわいいラジオ","可爱广播",""
"kawaii__radio","可爱广播",""
"岡咲美保","冈咲美保",""
"冈咲美保","冈咲美保",""
"おかさきみほ","冈咲美保",""
"みぽりん","冈咲美保",""
"おみほ","冈咲美保",""
"Miho Okasaki","冈咲美保",""
"あうとスタンド","由贵美保广播",""
"あうとスタンド！！","由贵美保广播",""
"中島由貴・岡咲美保 あうとスタンド！！","由贵美保广播",""
"あうスタ","由贵美保广播",""
"あうスタチャンネル","由贵美保广播",""
"yukimiho_stand","由贵美保广播",""
"ゆきみほ","由贵×美保",""
"自由人電波局","自由人电波局",""
"自由人電波局～ひとなみ～","自由人电波局",""
"ひとなみ","自由人电波局",""
"hitonami_yuki","自由人电波局",""
"しまゆきラジオ","岛由贵广播",""
"中島由貴のしまゆきラジオ","岛由贵广播",""
"ふたりげーむ","双人游戏",""
"中島由貴のふたりげーむ","双人游戏",""
"プロセカ","世界计划",""
"プロジェクトセカイ","世界计划",""
"プロジェクトセカイ カラフルステージ！","世界计划",""
"Project SEKAI","世界计划",""
"Leo/need","Leo/need",""
"レオニ","Leo/need",""
"レオニード","Leo/need",""
"日野森志歩","日野森志步",""
"日野森志步","日野森志步",""
"ひのもりしほ","日野森志步",""
"志歩","日野森志步",""
"Shiho Hinomori","日野森志步",""
"星乃一歌","星乃一歌",""
"野口瑠璃子","野口瑠璃子",""
"天馬咲希","天马咲希",""
"礒部花凜","矶部花凛",""
"磯部花凛","矶部花凛",""
"望月穂波","望月穗波",""
"上田麗奈","上田丽奈",""
"アース・スター ドリーム","Earth Star Dream",""
"アース・スタードリーム","Earth Star Dream",""
"アーススタードリーム","Earth Star Dream",""
"Earth Star Dream","Earth Star Dream",""
"ESD","Earth Star Dream",""
"高尾奏音","高尾奏音",""
"たかおかのん","高尾奏音",""
"小出ひかる","小出光",""
